@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
324,'2017/03/27 17:20:11:266',4,0,0,0,0,0,0,0,?,?
325,'2017/03/27 17:20:11:295',4,0,0,0,0,0,0,0,?,?
326,'2017/03/27 17:20:11:310',4,0,0,0,0,0,0,0,?,?
327,'2017/03/27 17:20:11:327',4,0,0,0,0,0,0,0,?,?
328,'2017/03/27 17:20:11:348',4,0,0,0,0,0,0,0,?,?
329,'2017/03/27 17:20:11:370',4,0,0,0,0,0,0,0,?,?
330,'2017/03/27 17:20:11:389',4,0,0,0,0,0,0,0,?,?
331,'2017/03/27 17:20:11:408',4,0,0,0,0,0,0,0,?,?
332,'2017/03/27 17:20:11:430',4,0,0,0,0,0,0,0,?,?
333,'2017/03/27 17:20:11:447',4,0,0,0,0,0,0,0,?,?
334,'2017/03/27 17:20:11:475',4,0,0,0,0,0,0,0,?,?
335,'2017/03/27 17:20:11:491',4,0,0,0,0,0,0,0,?,?
336,'2017/03/27 17:20:11:507',4,0,0,0,0,0,0,0,?,?
337,'2017/03/27 17:20:11:530',4,0,0,0,0,0,0,0,?,?
